"id","volgorde","fk_rubriek_parent","fk_archief","toelichting","publiceren","naam","app_state","datum_gewijzigd","gewijzigd_door"
"409",NULL,"418","10","<p>Pieter Brattinga heeft de tentoonstelling, het affiche en de catalogus ontworpen</p>","1","Tentoonstelling Sculptuur uit Afrika en Oceanië","1","2004-11-23","Charlotte"
"410",NULL,"418","10","<p>Pieter Brattinga heeft de tentoonstelling, de catalogus en het affiche ontworpen</p>","1","Tentoonstelling De Kröllers en hun architecten","1","2004-11-23","Charlotte"
"411",NULL,"418","10","<p>Pieter Brattinga heeft de tentoonstelling, het affiche en de bewegwijzering ontworpen</p>","1","Tentoonstelling Vincent van Gogh: schilderijen en tekeningen","1","2004-11-23","Charlotte"
"413",NULL,"106","10",,"1","Bewegwijzering","1","2004-11-24","Charlotte"
"414",NULL,"106","10",,"1","Ontwerpen overig","1","2004-11-25","Charlotte"
"415",NULL,"246","10",,"1","Jubileumzegels PTT","1","2004-11-24","Trudi"
"416",NULL,"106","10",,"1","Catalogi","1","2004-11-24","Charlotte"
"418",NULL,"106","10",,"1","Tentoonstellingen","1","2004-11-24","Charlotte"
"419",NULL,"418","10","<p>Pieter Brattinga heeft de tentoonstelling ontworpen</p>","1","Tentoonstelling Het Nieuwe Bouwen","1","2004-11-24","Charlotte"
"420",NULL,"246","10",,"1","Overige opdrachten","1","2004-11-24","Trudi"
"421",NULL,"246","10",,"1","Jaarverslagen","1","2004-11-24","Trudi"
"422",NULL,"106","10",,"1","Correspondentie en documentatie overig","1","2005-01-24","Trudi"
"423",NULL,"416","10",,"1","Honderd tekeningen uit het Museum of Modern Art, New York","1","2004-11-29","Charlotte"
"424",NULL,"416","10","<p>Catalogus naar aanleiding van vijftigjarig jubileum in 1988 van Rijksmuseum Kröller-Müller</p>","1","Catalogus Kröller-Müller","1","2004-11-30","Charlotte"
"426",NULL,"344","10",,"1","Kalenders","1","2004-11-25","Trudi"
