"id","fk_lijsten","fk_object","fk_persoon_instelling","ranking","is_ontwerp"
"6798","27","4076","940",NULL,"1"
"6799","25","4076","1087",NULL,NULL
"6800","85","4076","1086",NULL,NULL
"6801","27","4077","940",NULL,"1"
"6802","25","4077","1088",NULL,NULL
"6803","85","4077","1089",NULL,NULL
"6804","27","4078","940",NULL,"1"
"6810","27","4083","1292",NULL,"1"
"6811","27","4084","1292",NULL,"1"
"6812","27","4085","947",NULL,"1"
"6833","27","4092","1292",NULL,"1"
"6846","27","4097","1292",NULL,"1"
"6847","27","4098","940",NULL,"1"
"6848","25","4098","634",NULL,NULL
"6849","85","4098","1100",NULL,NULL
"6850","27","4099","940",NULL,"1"
"6851","27","4099","946",NULL,"1"
"6852","25","4099","634",NULL,NULL
"6853","85","4099","475",NULL,NULL
"6854","27","4100","1292",NULL,"1"
"6855","25","4100","634",NULL,NULL
"6856","85","4100","475",NULL,NULL
"6860","27","4102","947",NULL,"1"
"6861","27","4102","941",NULL,"1"
"6862","27","4102","956",NULL,"1"
"6865","27","4104","940",NULL,"1"
"6866","25","4104","634",NULL,NULL
"6867","85","4104","475",NULL,NULL
"6872","27","4106","941",NULL,"1"
"6873","25","4106","967",NULL,NULL
"6874","85","4106","1047",NULL,NULL
"6881","27","4114","1292",NULL,"1"
"6882","27","4115","1292",NULL,"1"
"6883","27","4116","940",NULL,"1"
"6885","27","4118","1292",NULL,"1"
"6886","27","4119","1292",NULL,"1"
"6887","27","4120","1292",NULL,"1"
"6888","27","4121","940",NULL,"1"
"6890","27","4123","1292",NULL,"1"
"6891","27","4124","1292",NULL,"1"
"6892","27","4125","942",NULL,"1"
"6893","27","4126","942",NULL,"1"
"6894","27","4127","1292",NULL,"1"
"6895","27","4128","1292",NULL,"1"
"6896","27","4129","1292",NULL,"1"
"6898","27","4131","1292",NULL,"1"
"6899","27","4132","940",NULL,"1"
"6900","27","4132","942",NULL,"1"
"6901","27","4133","940",NULL,"1"
"6902","27","4133","942",NULL,"1"
"6903","27","4134","940",NULL,"1"
"6904","27","4134","942",NULL,"1"
"6907","27","4137","1292",NULL,"1"
"6913","27","4140","941",NULL,"1"
"6914","27","4140","1008",NULL,"1"
"6915","27","4141","941",NULL,"1"
